# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Phycicoccus	0.00095821	0.000646798	0.000489881	0.000536617
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Serinicoccus	0.000853841	0.000543882	0.000376794	0.000418203
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Jonesiaceae	g__Jonesia	0	2.98E-05	2.13E-05	2.47E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Jonesiaceae	g__Tropheryma	1.45E-06	8.72E-06	3.15E-06	3.15E-06
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Agrococcus	0.001781539	0.001234267	0.000890406	0.000876603
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Agromyces	0.003973774	0.003105404	0.005916588	0.005781707
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Aurantimicrobium	6.93E-05	4.17E-05	2.83E-05	3.12E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Candidatus Aquiluna	2.93E-05	1.33E-05	7.51E-06	7.75E-06
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Clavibacter	0.001565052	0.001480297	0.001131593	0.001142732
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Cnuibacter	0.000776109	0.000549693	0.000456705	0.000419171
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Cryobacterium	0.000911716	0.000637354	0.000509253	0.000516276
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Curtobacterium	0.001609608	0.00121659	0.000879025	0.000853114
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Frondihabitans	0.000693049	0.00041457	0.000297367	0.000297609
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Leifsonia	0.001001798	0.001683708	0.001389005	0.001334762
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	0.007816541	0.007020091	0.00666606	0.005773232
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microcella	0.000424257	0.000293735	0.000228837	0.00022472
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microterricola	0.001127719	0.000806862	0.000731068	0.000729615
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Mycetocola	0.00026516	0.000177742	0.000141903	0.000147957
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Plantibacter	0.000569308	0.000384785	0.000322309	0.000326668
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Pontimonas	4.94E-05	2.59E-05	1.45E-05	1.43E-05
