# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__M12virus	76	83	74	55
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Marthavirus	16	10	7	6
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Mooglevirus	18	29	25	19
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Moonvirus	52	52	37	51
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Msw3virus	11	12	6	11
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Muvirus	31	25	19	22
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Nit1virus	62	52	52	40
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__P100virus	79	6	8	3
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__P1virus	46	31	35	36
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__P2virus	268	295	347	306
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Pakpunavirus	18	65	59	71
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Pbunavirus	50	31	31	39
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Phikzvirus	417	453	525	518
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Rb49virus	17	35	37	32
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Rb69virus	69	28	20	24
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Rsl2virus	86	71	63	56
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Rslunavirus	150	156	109	98
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__S16virus	14	27	18	5
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Schizot4virus	158	180	147	123
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Se1virus	94	86	84	92
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Secunda5virus	151	168	134	180
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Sep1virus	25	19	23	14
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Silviavirus	8	5	6	13
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Sp18virus	78	49	65	56
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Spn3virus	48	46	40	45
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Spo1virus	5	6	7	4
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Suspvirus	16	6	15	25
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Svunavirus	1	3	1	0
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__T4virus	1804	1719	1725	1755
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Tg1virus	18	36	23	11
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Tsarbombavirus	186	146	112	182
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Twortvirus	22	35	40	43
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__V5virus	61	62	59	58
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Vhmlvirus	11	13	5	3
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Wphvirus	168	184	142	172
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__	748	785	786	826
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Bcep22virus	109	107	78	118
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Bpp1virus	42	38	34	39
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Cba41virus	4	5	6	6
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Cp1virus	58	64	46	49
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Ea92virus	21	12	13	18
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Epsilon15virus	84	44	62	60
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__F116virus	29	14	23	23
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Fri1virus	63	60	47	62
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__G7cvirus	30	46	44	53
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Kf1virus	5	4	8	8
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Kp32virus	35	23	19	40
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Kp34virus	27	26	20	33
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Kpp25virus	15	15	23	19
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Lit1virus	28	39	18	13
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Luz24virus	16	20	55	52
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Luz7virus	21	24	21	23
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__N4virus	171	192	176	170
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Nona33virus	2	4	6	2
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Nonanavirus	303	302	303	275
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__P22virus	28	21	109	98
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__P68virus	16	14	8	15
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Pagevirus	10	15	11	23
k__Viruses	p__	c__	o__Caudovirales	f__Podoviridae	g__Phi29virus	19	8	10	25
