# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Frondihabitans	2862	1712	1228	1229
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Leifsonia	4137	6953	5736	5512
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	32279	28990	27528	23841
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microcella	1752	1213	945	928
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microterricola	4657	3332	3019	3013
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Mycetocola	1095	734	586	611
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Plantibacter	2351	1589	1331	1349
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Pontimonas	204	107	60	59
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Rathayibacter	2255	1480	1162	1094
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Rhodoluna	186	120	68	66
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Salinibacterium	794	549	376	378
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	15787	12132	11878	10975
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Glutamicibacter	421	713	571	560
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria	7094	6060	4202	4274
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Micrococcus	7	1670	1217	1173
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Neomicrococcus	346	310	218	213
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Paenarthrobacter	217	787	958	717
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Pseudarthrobacter	4837	3868	3809	3200
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Renibacterium	0	125	82	88
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Rothia	235	428	287	260
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Sinomonas	3411	2499	2036	1598
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Zhihengliuella	1299	2313	1865	1620
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Cellulosimicrobium	8293	8490	8650	8007
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Isoptericola	8075	6256	8007	5426
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Xylanimonas	3372	2499	2537	1972
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Sanguibacteraceae	g__Sanguibacter	3131	2080	1707	1623
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Actinoplanes	34542	27903	19114	20751
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Micromonospora	83494	73764	56578	83482
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Plantactinospora	9462	10241	6838	6823
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Salinispora	5343	3826	2934	3074
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Verrucosispora	4628	3446	2489	2489
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Nakamurellales	f__Nakamurellaceae	g__Nakamurella	7344	4650	2984	3060
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Actinopolymorpha	5496	3362	2089	2094
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Aeromicrobium	14186	10046	6658	6195
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Friedmanniella	10141	6585	4456	4589
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Kribbella	7517	4693	4453	3287
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Marmoricola	6203	4766	3808	3543
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Micropruina	2439	1619	1103	1145
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	26050	20468	16749	16314
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Pimelobacter	9094	6701	6112	4858
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Acidipropionibacterium	87	1977	1223	1193
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Auraticoccus	3717	2406	1643	1636
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	974	1893	946	1051
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Microlunatus	6413	3718	2669	2616
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Propionibacterium	242	2012	1261	1187
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Propionimicrobium	123	75	40	65
